CountryOfCitizenship,EstWorthPrev,FinalWorth,Gender,Industries,PersonName,Rank,Source
Austria,7098.069131,7098.069,M,Gambling & Casinos,Johann Graf,342,Gambling 
United States,7096.425,7091.693,F,Healthcare,Ronda Stryker,343,Medical equipment
China,7088.558297,7030.208,M,Technology,Qi Shi & family,346,Financial information
United States,7061.41802,7156.484,M,Finance & Investments,Ken Langone,337,Investments
United States,7027.788,7027.788,M,Sports,Stephen Bisciotti,347,"Staffing, Baltimore Ravens"
China,7021.829238,7033.779,M,Energy,Pei Zhenhua,345,Batteries
United States,7019.45416,7070.331,F,Service,Tamara Gustavson,344,Self storage
Russia,7017.709662,7017.71,F,Fashion & Retail,Tatyana Bakalchuk,348,Ecommerce
China,7010.585422,7010.585,M,Fashion & Retail,Ding Shijia,349,Sports apparel
Singapore,7002.281382,7002.234,M,Real Estate,Robert Ng,350,Real estate
India,6997.463275,6997.79,M,Fashion & Retail,M.A. Yusuff Ali,351,Retail
Sweden,6987.690942,6993.413,M,Healthcare,Frederik Paulsen,352,Health care
Hong Kong,6963.195194,6963.195,M,Real Estate,Law Kar Po,353,Real estate
United States,6961.35,6961.35,F,Diversified,Edythe Broad & family,354,"Homebuilding, insurance"
United States,6950.988,6950.988,M,Logistics,Dennis Washington,355,"Construction, mining"
Singapore,6948.891824,6915.764,M,Finance & Investments,Wee Cho Yaw,358,Banking
United States,6944.734,6944.734,F,Technology,Judy Faulkner,357,Healthcare software
United States,6939.01351,6910.044,M,Manufacturing,Steven Rales,359,"Manufacturing, investments"
Italy,6877.501265,6950.235,M,Automotive,Piero Ferrari,356,Automobiles
Israel,6870.153,6867.913,M,Media & Entertainment,Igor Bukhman,361,Online games
Israel,6870.153,6867.913,M,Media & Entertainment,Dmitri Bukhman,361,Online games
China,6842.619555,6887.12,F,Real Estate,Wu Yajun,360,Real estate
Russia,6837.715799,6837.716,M,Metals & Mining,Iskander Makhmudov,363,"Mining, metals, machinery"
China,6801.315645,6778.327,M,Food & Beverage,Lin Muqin & family,365,Beverages
Denmark,6791.492286,6760.463,M,Fashion & Retail,Anders Holch Povlsen,366,Fashion retail
United States,6785.171747,6786.033,M,Energy,Terrence Pegula,364,Natural gas
Israel,6754.0,6754.0,M,Finance & Investments,Yuri Milner,367,Tech investments
United Kingdom,6748.0,6748.0,M,Finance & Investments,Christopher Hohn,368,Hedge funds
United States,6737.156,6737.156,M,Finance & Investments,Ken Fisher,369,Money management
United States,6706.0,6706.0,M,Finance & Investments,George Soros,372,Hedge funds
China,6697.0,6697.0,M,Metals & Mining,Wang Wenyin,374,"Mining, copper products"
United States,6693.279064,6702.439,M,Finance & Investments,Douglas Leone,373,Venture capital
Egypt,6693.234565,6728.153,M,Construction & Engineering,Nassef Sawiris,370,"Construction, investments"
United States,6692.34257,6725.101,M,Technology,Charles Simonyi,371,Microsoft
China,6682.958344,6678.634,M,Manufacturing,Liang Wengen,375,Construction equipment
Nigeria,6682.273865,6440.607,M,Diversified,Abdulsamad Rabiu,404,"Cement, sugar"
Hong Kong,6678.589799,6534.101,F,Technology,Zhou Qunfei,393,Smartphone screens
United States,6664.5,6664.5,F,Food & Beverage,Lynsi Snyder,377,In-N-Out Burger
Italy,6660.773079,6660.773,F,Healthcare,Massimiliana Landini Aleotti & family,378,Pharmaceuticals
Denmark,6658.002731,6658.003,M,Manufacturing,Thomas Kirk Kristiansen,379,Lego
Denmark,6658.002731,6658.003,F,Manufacturing,Agnete Kirk Thinggaard,379,Lego
Denmark,6658.002731,6658.003,M,Manufacturing,Kjeld Kirk Kristiansen,379,Lego
Denmark,6658.002731,6658.003,F,Manufacturing,Sofie Kirk Kristiansen,379,Lego
United States,6648.847,6648.847,M,Food & Beverage,Bert Beveridge,384,Vodka
Taiwan,6640.559131,6671.79,M,Technology,Terry Gou,376,Electronics
Monaco,6628.0676,6533.425,M,Fashion & Retail,Stefano Pessina,394,Drugstores
United Kingdom,6622.801623,6622.802,M,Real Estate,David Reuben,387,"Investments, real estate"
United Kingdom,6622.801623,6622.802,M,Diversified,Simon Reuben,387,"Real estate, investments"
Germany,6593.505182,6625.391,M,Fashion & Retail,Wolfgang Herz,385,Coffee
Germany,6593.505182,6625.391,M,Fashion & Retail,Michael Herz,385,Coffee
United States,6584.549621,6583.604,M,Technology,Leo Koguan,390,IT provider
Indonesia,6584.40817,6571.252,M,Manufacturing,Sri Prakash Lohia,391,Petrochemicals
Taiwan,6570.741839,6570.742,M,Manufacturing,Lin Shu-hong,392,Petrochemicals
United States,6562.08,6344.655,M,Finance & Investments,Carl Icahn,411,Investments
United States,6553.052706,7145.926,M,Finance & Investments,Mat Ishbia,339,Mortgage lender
Japan,6552.046512,6181.803,M,Fashion & Retail,Takahisa Takahara,425,personal care goods
Poland,6522.774774,6523.092,M,Finance & Investments,Michal Solowow,396,Investments
Hong Kong,6522.752738,6594.824,M,Automotive,Wu Jianshu,389,Auto parts
Czech Republic,6500.694518,6500.695,M,Real Estate,Radovan Vitek,397,Real estate
United States,6500.0,6500.0,M,Finance & Investments,Michael Milken,398,Investments
China,6489.87564,6456.621,M,Technology,Robin Li,403,Internet search
United Kingdom,6478.611487,6478.611,F,Gambling & Casinos,Denise Coates,399,Online gambling
United States,6473.003297,6424.218,M,Finance & Investments,Peter Thiel,405,"Facebook, investments"
Russia,6467.263683,6461.518,M,Energy,Alexei Kuzmichev,402,"Oil, banking, telecom"
United States,6466.564,6466.564,F,Media & Entertainment,Blair Parry-Okeden,400,"Media, automotive"
United States,6462.164,6462.164,M,Media & Entertainment,Jim Kennedy,401,"Media, automotive"
China,6402.454245,6281.415,M,Energy,Wang Yusuo & family,413,Natural gas distribution
India,6392.683067,6525.623,M,Fashion & Retail,Gopikishan Damani,395,"Retail, investments"
United Kingdom,6382.591516,6382.592,M,Manufacturing,John Reece,406,Chemicals
United Kingdom,6374.82434,6374.824,M,Manufacturing,Andrew Currie,407,Chemicals
Italy,6371.234913,6654.869,M,Healthcare,Sergio Stevanato & family,383,Medical packaging
Russia,6367.381024,6367.381,M,Manufacturing,Dmitry Rybolovlev & family,409,Fertilizer
France,6357.690658,6368.512,M,Telecom,Xavier Niel,408,"Internet, telecom"
Ireland,6340.2,6340.2,M,Finance & Investments,John Grayken,412,Private equity
Russia,6325.511433,6347.258,M,Diversified,Viktor Vekselberg,410,"Metals, investments"
Mexico,6266.678163,6266.678,F,Food & Beverage,Maria Asuncion Aramburuzabala & family,415,"Beer, investments"
China,6263.00665,6254.977,M,Real Estate,Wang Jianlin,417,Real estate
Israel,6255.0,6255.0,M,Manufacturing,Stef Wertheimer & family,416,Metalworking tools
India,6235.053328,6274.808,M,Automotive,Vikram Lal & family,414,Motorcycles
United States,6233.84126,6224.323,M,Automotive,Ernest Garcia II,419,Used cars
United States,6222.68995,6232.101,M,Finance & Investments,Jonathan Gray,418,Investments
United States,6215.476536,6215.477,M,Real Estate,Edward Roski Jr,420,Real estate
United States,6202.871243,6213.356,M,Technology,Pierre Omidyar,421,"EBay, PayPal"
Sweden,6183.887753,6184.516,M,Finance & Investments,Carl Bennet,424,Investments
United States,6175.41936,6187.559,M,Technology,Vinod Khosla,423,Venture capital
United States,6172.051953,6168.733,M,Real Estate,Neil Bluhm,427,Real estate
United States,6169.13642,6169.138,M,Media & Entertainment,Mark Cuban,426,"Online media, Dallas Mavericks"
United States,6165.308474,6165.308,M,Finance & Investments,Daniel Ziff,428,Investments
United States,6165.308474,6165.308,M,Finance & Investments,Dirk Ziff,428,Investments
United States,6165.0,6165.0,M,Finance & Investments,Robert Ziff,430,Investments
France,6158.81872,6193.866,M,Healthcare,Alain Merieux & family,422,Pharmaceuticals
United States,6154.0,6154.0,M,Finance & Investments,Stanley Druckenmiller,431,Hedge funds
United States,6134.789068,6134.789,M,Healthcare,Reinhold Schmieding,434,Medical devices
United States,6134.5,6134.5,M,Finance & Investments,Philippe Laffont,435,Hedge fund
United States,6129.0,6129.0,M,Finance & Investments,Paul Singer,436,Hedge funds
Canada,6114.523807,6074.858,M,Fashion & Retail,Chip Wilson,440,Lululemon
United States,6109.507,6109.507,F,Sports,Gayle Benson,437,New Orleans Saints
United States,6093.273,6093.273,M,Food & Beverage,Don Vultaggio & family,439,Beverages
Switzerland,6088.401644,6151.474,F,Manufacturing,Magdalena Martullo-Blocher,432,Chemicals
Switzerland,6077.294235,6140.367,F,Manufacturing,Rahel Blocher,433,Chemicals
United Kingdom,6051.036043,6057.769,M,Finance & Investments,Joe Lewis,441,Investments
United States,6050.673702,6050.674,M,Finance & Investments,Todd Boehly,443,Finance
Hong Kong,6046.341962,6015.192,M,Energy,Michael Kadoorie,445,"Hotels, energy "
United States,6028.87471,5939.729,M,Technology,Robert Pera,455,Wireless networking
China,6026.118845,5955.626,M,Manufacturing,You Xiaoping & family,453,Polyurethanes
Australia,6024.520873,6024.521,M,Finance & Investments,Frank Lowy,444,Investments
United States,6000.0,6000.0,M,Food & Beverage,William Goldring & family,447,alcohol
United States,5995.63275,6004.729,F,Finance & Investments,Karen Pritzker,446,"Hotels, investments"
Russia,5978.641927,5978.642,M,Metals & Mining,Alexander Abramov,448,"Steel, mining"
Austria,5977.040816,5977.041,M,Real Estate,Rene Benko,449,"Real estate, retail"
United States,5965.3205,5964.578,M,Fashion & Retail,Les Wexner & family,451,Retail
United States,5963.973,5963.973,F,Real Estate,Annette Lerner & family,452,Real estate
India,5962.559444,6107.85,M,Healthcare,Pankaj Patel,438,Pharmaceuticals
South Korea,5960.364693,6053.383,M,Healthcare,Seo Jung-jin,442,Biotech
China,5945.367193,5945.367,M,Food & Beverage,Zong Qinghou,454,Beverages
India,5939.309272,5965.825,M,Healthcare,Murali Divi & family,450,Pharmaceuticals
Sweden,5936.077116,5926.887,M,Diversified,Gustaf Douglas,456,Investments
United States,5923.464,5919.041,M,Healthcare,John Brown,457,Medical equipment
United Kingdom,5911.752227,5911.752,M,Construction & Engineering,Anthony Bamford & family,459,Construction equipment
Taiwan,5894.637328,5805.959,M,Food & Beverage,Tsai Eng-meng,466,"Food, beverages"
China,5894.350832,5876.059,M,Service,Liu Yonghao & family,461,Agribusiness
Switzerland,5878.315864,5903.602,M,Construction & Engineering,Thomas Schmidheiny,460,Cement
Singapore,5855.655953,5747.807,M,Food & Beverage,Zhang Yong,472,Restaurants
Norway,5854.0,5854.0,M,Finance & Investments,Andreas Halvorsen,462,Hedge funds
Germany,5852.313923,5918.88,F,Finance & Investments,Nadia Thiele,458,Investments
United States,5818.39152,5840.151,M,Real Estate,Ty Warner,463,"Plush toys, real estate"
United States,5797.754708,5797.755,M,Real Estate,Robert Faith,467,Real estate management
Argentina,5786.608,5726.626,M,Technology,Marcos Galperin,475,E-commerce
United States,5783.7534,5784.848,M,Finance & Investments,Joe Mansueto,469,Investment research
United States,5782.16,5818.961,M,Finance & Investments,David Bonderman,465,Private equity
United States,5773.11594,5739.469,M,Service,Gary Rollins,473,Pest control
Canada,5754.576,5754.576,M,Energy,Arthur Irving,470,Oil
United States,5751.536,5751.536,F,Sports,Denise York & family,471,San Francisco 49ers
China,5733.828415,5696.034,M,Finance & Investments,Lin Li,480,Investments
India,5717.826446,5819.219,M,Manufacturing,Mahendra Choksi & family,464,Paints
Ukraine,5713.0,5713.0,M,Metals & Mining,Rinat Akhmetov,476,"Steel, coal "
Germany,5701.238594,5785.728,M,Finance & Investments,Ludwig Merckle,468,Pharmaceuticals
Netherlands,5700.367561,5704.169,M,Service,Frits Goldschmeding,478,Temp agency
United Kingdom,5700.0,5700.0,M,Media & Entertainment,Clive Calder,479,Record label
Hong Kong,5674.048729,5643.974,M,Manufacturing,Ruan Liping,485,Power strips
United States,5667.5,5667.5,M,Finance & Investments,Chase Coleman III,481,Investments
Hong Kong,5659.212456,5629.218,M,Manufacturing,Ruan Xueping,490,Power strip
United States,5656.248,5656.248,M,Finance & Investments,Mark Walter,483,"Finance, asset management"
United States,5654.923,5654.923,M,Automotive,Dan Friedkin,484,Toyota dealerships
China,5640.631204,5640.63,M,Fashion & Retail,Shen Guojun,486,Retail
Brazil,5639.15939,5633.981,M,Finance & Investments,Alexandre Behring,488,Investments
Indonesia,5632.042587,5638.074,M,Diversified,Chairul Tanjung,487,Diversified
United States,5630.26,5630.26,M,Fashion & Retail,Bill Haslam,489,Gas stations
Canada,5623.746118,5707.587,M,Technology,Tobi Lutke,477,E-commerce
United States,5614.575,5614.575,F,Sports,Janice McNair,492,"Energy, sports"
Greece,5614.256,5614.256,F,Logistics,Maria Angelicoussis,493,Shipping
United States,5609.14668,5623.776,M,Finance & Investments,Marc Rowan,491,Private equity
Colombia,5592.697584,5592.642,M,Finance & Investments,Jaime Gilinski Bacal,494,Banking
South Korea,5586.287207,5551.574,F,Technology,Hong Ra-hee,499,Samsung
China,5583.998078,5657.519,M,Energy,Cao Renxian,482,Photovoltaic equipment 
United States,5580.071531,5512.522,M,Healthcare,Patrick Soon-Shiong,503,Pharmaceuticals
United States,5578.0,5578.0,M,Food & Beverage,Stewart Resnick,495,Agriculture
United States,5578.0,5578.0,F,Food & Beverage,Lynda Resnick,495,Agriculture
Germany,5547.601239,5547.601,M,Healthcare,Wolfgang Marguerre & family,500,Pharmaceuticals
Israel,5547.340794,5547.341,M,Gambling & Casinos,Teddy Sagi,501,Gambling software
United States,5539.73562,5563.052,M,Logistics,Fred Smith,497,FedEx
United States,5526.621724,5730.645,M,Technology,Lin Bin,474,Smartphones
Taiwan,5520.830204,5461.882,M,Technology,Pierre Chen,507,Electronics
United States,5518.9556,5533.143,M,Finance & Investments,Mark Stevens,502,Venture capital
Ireland,5500.0,5500.0,M,Technology,Patrick Collison,504,Payment software
Ireland,5500.0,5500.0,M,Technology,John Collison,504,Payments software
United States,5493.022939,5422.577,M,Energy,Kelcy Warren,511,Pipelines
Canada,5479.909091,5479.909,M,Diversified,James Irving,506,Diversified
China,5477.516068,5555.572,M,Manufacturing,Luo Liguo & family,498,Chemicals
United States,5437.0,5437.0,M,Telecom,Robert Hale Jr,509,Telecom
Denmark,5431.147525,5316.94,M,Healthcare,Niels Peter Louis-Hansen,522,Medical devices
United States,5422.817949,5386.915,M,Finance & Investments,Thomas Pritzker,517,"Hotels, investments"
Sweden,5409.552328,5407.318,M,Real Estate,Fredrik Lundberg,512,"Real estate, investments"
Germany,5405.444,5405.444,M,Fashion & Retail,Wolfgang Reimann,513,Consumer goods
Germany,5405.441,5405.441,F,Fashion & Retail,Renate Reimann-Haas,514,Consumer goods
Germany,5405.441,5405.441,M,Fashion & Retail,Matthias Reimann-Andersen,514,Consumer goods
Germany,5405.441,5405.441,M,Fashion & Retail,Stefan Reimann-Andersen,514,Consumer goods
Chile,5383.262164,5459.586,M,Finance & Investments,Jean Salata,508,Finance 
Thailand,5371.158725,5304.866,M,Diversified,Sumet Jiaravanon,525,Diversified
United States,5366.32956,5431.684,M,Technology,Scott Cook,510,Software
Germany,5342.451117,5342.451,M,Food & Beverage,Erich Wesjohann & family,519,Poultry genetics
Eswatini (Swaziland),5333.888669,5327.943,M,Fashion & Retail,Nathan Kirsh,520,"Retail, real estate"
United States,5318.526836,5318.527,M,Real Estate,John A. Sobrato & family,521,Real estate
China,5311.81,5305.506,M,Logistics,Lai Meisong,524,Package delivery
Thailand,5297.640723,5232.304,M,Diversified,Jaran Chiaravanont,536,Diversified
Hong Kong,5293.009779,5298.62,M,Automotive,Li Ping,526,Batteries
United States,5289.411673,5343.587,M,Service,Tom Golisano,518,Payroll services
United States,5286.233485,5286.256,F,Technology,Thai Lee,527,IT provider
Austria,5280.18704,5247.384,M,Logistics,Helmut Sohmen,529,Shipping
United States,5275.641587,5275.642,M,Real Estate,Rick Caruso,528,Real estate
United States,5273.396654,5227.602,M,Finance & Investments,Thomas Hagen,538,Insurance
United States,5251.37589,5238.902,M,Energy,Robert Bass,534,"Oil, investments"
Australia,5249.50228,5228.449,M,Technology,Richard White,537,Software
United States,5244.728,5244.728,M,Fashion & Retail,Mark Meijer & family,530,Supermarkets
United States,5244.67748,5240.716,F,Technology,Dagmar Dolby & family,533,Dolby Laboratories
United States,5241.928,5241.928,M,Fashion & Retail,Hank Meijer & family,531,Supermarkets
United States,5241.912,5241.912,M,Fashion & Retail,Doug Meijer & family,532,Supermarkets
Canada,5238.7,5238.7,M,Gambling & Casinos,Mark Scheinberg,535,Online gambling 
Turkey,5234.468906,5213.227,M,Food & Beverage,Murat Ulker,539,Food
Poland,5209.976998,5146.279,M,Fashion & Retail,Tomasz Biernacki,541,Supermarkets
China,5208.237749,5208.238,M,Manufacturing,Yao Liangsong,540,Furniture
United States,5134.965,5134.965,M,Sports,John Henry,542,Sports
South Korea,5128.815322,5128.815,M,Media & Entertainment,Kwon Hyuk-bin,544,Online games
United States,5128.717,5128.717,F,Food & Beverage,Gwendolyn Sontheim Meyer,545,Cargill
United States,5125.0,5132.159,M,Technology,Joseph Liemandt,543,Software
United Kingdom,5121.817734,5064.998,M,Fashion & Retail,Michael Ashley,551,Sports retailing
China,5121.00646,5060.214,M,Technology,Richard Liu,552,E-commerce
United States,5108.0,5108.0,M,Finance & Investments,Sami Mnaymneh,547,Private equity
United States,5108.0,5108.0,M,Finance & Investments,Tony Tamer,547,Private equity
France,5078.583182,5078.583,M,Fashion & Retail,Michel Leclercq & family,549,Sporting goods
United States,5075.672,5075.672,M,Manufacturing,Archie Aldis Emmerson & family,550,"Timberland, lumber mills"
United States,5057.7,5126.997,M,Technology,Romesh T. Wadhwani,546,Software
Switzerland,5053.007034,5052.99,F,Healthcare,Dona Bertarelli,553,Biotech and investments
Portugal,5048.512481,5052.797,F,Diversified,Maria Fernanda Amorim & family,554,"Energy, investments"
